% # of blocks, # maximum delay
109,332
% block no, block name, core, start time, end time
44,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_Product7,1,212,217
45,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_Sqrt,1,195,200
46,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_Switch,1,207,212
47,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_UnitDelay,1,110,115
48,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_id,0,130,135
49,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_id_ref,0,201,206
50,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_iq,0,115,120
51,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_iq_ref,0,101,106
52,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_ke,0,155,160
53,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_wre,0,125,130
54,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_wred,0,206,211
55,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_currentcon_wreq,0,120,125
56,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab,1,327,332
57,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Add,1,282,287
58,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Out1,1,292,297
59,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Out2,1,287,292
60,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Product,1,262,267
61,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Product1,1,272,277
62,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Product2,1,257,262
63,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Product3,1,267,272
64,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_Subtract,1,277,282
65,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_TrigonometricFunction,1,242,247
66,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_TrigonometricFunction1,1,237,242
67,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_d,1,252,257
68,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_q,1,247,252
69,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_dq2ab_thetae,1,232,237
70,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_ia,1,15,20
71,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_ib,1,30,35
72,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_idref,0,191,196
73,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_iqref,0,81,86
74,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_theta_erad,1,5,10
75,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_va,1,297,302
76,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_vb,1,302,307
77,adddelay_synmmodel_ctrl_risan_noMF_Currentcontroller_wrm,0,86,91
78,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller,0,256,261
79,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_id,0,186,191
80,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_iq,0,76,81
81,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_m2e,0,25,30
82,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon,0,261,266
83,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Abs,0,170,175
84,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Gain,0,35,40
85,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Gain1,0,50,55
86,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Gain2,0,45,50
87,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_In1,0,30,35
88,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Integrator,0,40,45
89,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Product,0,66,71
90,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Product1,0,176,181
91,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_Saturation,0,60,65
92,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_cosisou,0,175,176
93,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_id,0,181,186
94,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_iq,0,71,76
95,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_sinisou,0,65,66
96,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_velocitycon_tmp_num,0,55,60
97,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_wrm,0,15,20
98,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_wrm2,0,10,15
99,adddelay_synmmodel_ctrl_risan_noMF_Verocitycontroller_wrmerr,0,20,25
100,adddelay_synmmodel_ctrl_risan_noMF_ia,1,10,15
101,adddelay_synmmodel_ctrl_risan_noMF_ib,1,25,30
102,adddelay_synmmodel_ctrl_risan_noMF_id,0,241,246
103,adddelay_synmmodel_ctrl_risan_noMF_iq,0,246,251
104,adddelay_synmmodel_ctrl_risan_noMF_theta_erad,1,0,5
105,adddelay_synmmodel_ctrl_risan_noMF_va,1,312,317
106,adddelay_synmmodel_ctrl_risan_noMF_vb,1,307,312
107,adddelay_synmmodel_ctrl_risan_noMF_wrm,0,0,5
108,adddelay_synmmodel_ctrl_risan_noMF_wrm2,0,5,10
